match,1,x,2,ovr_und_point,over,under
Manchester City v. Everton,1.33,5.3,7.8,3.5,2.32,1.57
Newcastle United v. Aston Villa,1.9,3.75,3.6,2.5,1.6,2.26
Bournemouth v. Crystal Palace,1.88,3.7,3.7,2.5,1.7,2.07
Chelsea v. Fulham,1.46,4.7,5.7,3.5,2.08,1.7
Nottingham Forest v. Tottenham Hotspur,2.29,3.7,2.76,3.5,2.16,1.65
Southampton v. West Ham United,3.16,3.48,2.15,2.5,1.63,2.19
Wolverhampton Wanderers v. Manchester United,3.55,3.65,1.94,2.5,1.64,2.18
Liverpool v. Leicester City,1.08,10.2,20.75,4.5,2.18,1.63
